"ensembl_gene_id","gene_symbol","log2_fold_change_no_zone","BH_FDR_no_zone","log2_fold_change_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"ENSG00000199223","AC010503.1",0.175029530110101,0.606339378312592,-0.382686476567358,0.497382966647121,FALSE,FALSE,TRUE
"ENSG00000199285","AL132994.1",0.0369703394876924,0.928391174236877,-0.653894720301668,0.293996094539273,FALSE,FALSE,TRUE
"ENSG00000199303","AL035087.1",0.0790857394596108,0.842797008960234,-0.597135332814783,0.330988313492389,FALSE,FALSE,TRUE
"ENSG00000199424","Z97632.1",0.0378068317007403,0.926392746107943,-0.652964475387046,0.293996094539273,FALSE,FALSE,TRUE
"ENSG00000199574","SNORD18C",-0.309682869192088,0.495155375326205,-1.05636388742394,0.159565081577137,FALSE,FALSE,FALSE
"ENSG00000199753","SNORD104",-0.334592843442678,0.314712290641774,-0.644789897279747,0.296763946274261,FALSE,FALSE,FALSE
"ENSG00000199875","AP003499.1",0.0517438862202246,0.896274379752831,-0.629466120725199,0.299600352933138,FALSE,FALSE,TRUE
"ENSG00000199961","SNORD1B",-0.5662223813291,0.175819641315851,-0.677816235757187,0.39420329313875,FALSE,FALSE,FALSE
"ENSG00000199990","VTRNA1-1",0.84377641017767,0.00581134419187109,0.234536106422979,0.706976281128661,TRUE,TRUE,FALSE
"ENSG00000200041","AL133548.1",0.209510287641059,0.582352748772542,-0.531689014151158,0.362889651678882,FALSE,FALSE,TRUE
"ENSG00000200084","SNORD68",-0.138345136890337,0.645873702116734,-0.663565969094498,0.207453272715342,FALSE,FALSE,FALSE
"ENSG00000200314","AL109920.1",0.22730382676642,0.575378429650761,-0.5297285775419,0.406675909087984,FALSE,FALSE,TRUE
"ENSG00000200422","AL590229.1",-0.00471009743273031,0.992782694678929,-0.387023578100803,0.650660291575282,FALSE,FALSE,FALSE
"ENSG00000200428","AC078818.1",0.0579567037222421,0.88438950929448,-0.618991956394984,0.317237998304169,FALSE,FALSE,TRUE
