"original_miRNA_id","normalized_miRNA_id","logFC_no_zone","BH_FDR_no_zone","logFC_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"hsa-miR-148a-5p:hsa-mir-148a","hsa-miR-148a-5p",0.970136597855957,0.100433737375975,0.326295577765496,0.951185018782856,FALSE,TRUE,FALSE
"hsa-miR-148b-3p:hsa-mir-148b","hsa-miR-148b-3p",0.365826609125676,0.330585014396387,0.146351432384265,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-148b-5p:hsa-mir-148b","hsa-miR-148b-5p",0.235578651163493,0.595144944409928,0.0993558902023154,0.97180894193783,FALSE,TRUE,FALSE
"hsa-miR-149-3p:hsa-mir-149","hsa-miR-149-3p",-1.72553020708085,0.159943381851787,0.583690849420631,0.942554188179476,FALSE,TRUE,TRUE
"hsa-miR-149-5p:hsa-mir-149","hsa-miR-149-5p",-1.07640823268745,0.137306977401911,0.546242128146658,0.901138084350497,FALSE,TRUE,TRUE
"hsa-miR-150-3p:hsa-mir-150","hsa-miR-150-3p",0.251709287045549,0.676680640477981,-0.375946927939321,0.913328740245061,FALSE,FALSE,TRUE
"hsa-miR-150-5p:hsa-mir-150","hsa-miR-150-5p",-0.197966008263741,0.729726778174633,-0.801654753953857,0.444782861895594,FALSE,FALSE,FALSE
"hsa-miR-151a-3p:hsa-mir-151a","hsa-miR-151a-3p",0.141294458959094,0.539191978003842,-0.0325194190309583,0.995435238426363,FALSE,TRUE,TRUE
"hsa-miR-151a-5p:hsa-mir-151a","hsa-miR-151a-5p",0.260519614805081,0.370973546838566,-0.0934059280916025,0.954302845955942,FALSE,TRUE,TRUE
"hsa-miR-151b:hsa-mir-151b","hsa-miR-151b",0.216425591920274,0.445590257206381,0.0000730800484420461,0.99967461484276,FALSE,TRUE,FALSE
"hsa-miR-152-3p:hsa-mir-152","hsa-miR-152-3p",-0.00406078604081105,0.987697385972863,-0.0828481113407436,0.961686339648352,FALSE,FALSE,FALSE
"hsa-miR-153-3p:hsa-mir-153-1","hsa-miR-153-3p",0.531431368984282,0.72792029134096,-0.678330104467491,0.948810508224733,FALSE,FALSE,TRUE
"hsa-miR-155-5p:hsa-mir-155","hsa-miR-155-5p",0.46671683210751,0.251796013504309,-0.12388535153183,0.961686339648352,FALSE,TRUE,TRUE
"hsa-miR-15a-5p:hsa-mir-15a","hsa-miR-15a-5p",-0.545781956178441,0.238930899844873,-0.561949236107123,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-15b-3p:hsa-mir-15b","hsa-miR-15b-3p",-0.169616291622927,0.721991975525303,-0.226326619793282,0.948810508224733,FALSE,FALSE,FALSE
"hsa-miR-15b-5p:hsa-mir-15b","hsa-miR-15b-5p",-0.25577946422098,0.626580291041456,-0.412411116182767,0.913328740245061,FALSE,FALSE,FALSE
"hsa-miR-16-2-3p:hsa-mir-16-2","hsa-miR-16-2-3p",-0.159598631062071,0.744769865823926,0.022720011042733,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-16-5p:hsa-mir-16-1","hsa-miR-16-5p",-0.312590478876539,0.578800468864439,-0.408901426744348,0.913328740245061,FALSE,FALSE,FALSE
"hsa-miR-17-3p:hsa-mir-17","hsa-miR-17-3p",0.292839673534539,0.847884598527618,-0.00579575477765573,0.998612650735802,FALSE,TRUE,TRUE
"hsa-miR-17-5p:hsa-mir-17","hsa-miR-17-5p",0.0432348020907448,0.929417074040883,0.0370107102734849,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-181a-2-3p:hsa-mir-181a-2","hsa-miR-181a-2-3p",0.480713333916489,0.148824804562336,0.0368766296972559,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-181a-3p:hsa-mir-181a-1","hsa-miR-181a-3p",-0.332646502295867,0.732917704376909,-0.732288172383589,0.901138084350497,FALSE,FALSE,FALSE
"hsa-miR-181a-5p:hsa-mir-181a-1","hsa-miR-181a-5p",-0.0563954158522484,0.858701909970255,-0.234967024511133,0.901138084350497,FALSE,FALSE,FALSE
"hsa-miR-181b-2-3p:hsa-mir-181b-2","hsa-miR-181b-2-3p",-0.11241807715471,0.941404851824172,-0.512582112260249,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-181b-5p:hsa-mir-181b-1","hsa-miR-181b-5p",0.0284310250897353,0.941404851824172,-0.103125457022919,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-181c-3p:hsa-mir-181c","hsa-miR-181c-3p",-0.206532832765325,0.889422147057613,-0.279088899990789,0.97180894193783,FALSE,FALSE,FALSE
"hsa-miR-181c-5p:hsa-mir-181c","hsa-miR-181c-5p",0.0942237676188901,0.889422147057613,-0.206081985750564,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-181d-5p:hsa-mir-181d","hsa-miR-181d-5p",0.0768043499729727,0.850481770003641,0.26967180314745,0.913328740245061,FALSE,FALSE,FALSE
"hsa-miR-182-5p:hsa-mir-182","hsa-miR-182-5p",-0.342206649147073,0.476166246852001,0.0223185791347625,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-1827:hsa-mir-1827","hsa-miR-1827",-0.155534922260111,0.815841007018046,-0.208745974468766,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-183-3p:hsa-mir-183","hsa-miR-183-3p",-1.04422513476124,0.288617319314835,-0.352507775907126,0.955708966936663,FALSE,TRUE,FALSE
"hsa-miR-183-5p:hsa-mir-183","hsa-miR-183-5p",-0.550674488418509,0.153521424411601,0.0200236827205726,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-184:hsa-mir-184","hsa-miR-184",0.575515586243243,0.574305360571869,0.451239775284076,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-185-3p:hsa-mir-185","hsa-miR-185-3p",0.642210282658916,0.414497778188412,0.552579001605125,0.942554188179476,FALSE,TRUE,FALSE
"hsa-miR-185-5p:hsa-mir-185","hsa-miR-185-5p",-0.351348065249894,0.468847638776705,-0.22956769344328,0.951185018782856,FALSE,TRUE,FALSE
"hsa-miR-186-5p:hsa-mir-186","hsa-miR-186-5p",0.0381929639339661,0.911361264671633,-0.0191077141978086,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-187-3p:hsa-mir-187","hsa-miR-187-3p",-1.93828863424917,0.148824804562336,-1.47764757004495,0.827381577615971,FALSE,TRUE,FALSE
"hsa-miR-187-5p:hsa-mir-187","hsa-miR-187-5p",-0.460315289504599,0.732917704376909,0.244928161398395,0.976628327128219,FALSE,TRUE,TRUE
"hsa-miR-18a-3p:hsa-mir-18a","hsa-miR-18a-3p",0.218233295739647,0.816522877783359,0.268761946121413,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-18a-5p:hsa-mir-18a","hsa-miR-18a-5p",-0.0643779900459381,0.908500446340924,0.131272031395007,0.961686339648352,FALSE,FALSE,TRUE
"hsa-miR-18b-5p:hsa-mir-18b","hsa-miR-18b-5p",-0.82327828870985,0.351573363261707,-1.03897279941386,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-1908-5p:hsa-mir-1908","hsa-miR-1908-5p",0.112251702019233,0.941404851824172,1.07379663687819,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-190a-5p:hsa-mir-190a","hsa-miR-190a-5p",1.20003215758328,0.0322108638481141,0.251611580521557,0.954302845955942,TRUE,TRUE,FALSE
"hsa-miR-191-3p:hsa-mir-191","hsa-miR-191-3p",1.15649016520226,0.27290471802055,0.591453258729363,0.951185018782856,FALSE,TRUE,FALSE
